,Station,Previous Station Code,Up/Down Line,Day of Week,Hour,Minute,Number of Transfer,GetIn_cnt,GetOut_cnt,PrevCongestion0,PrevCongestion1,PrevCongestion2,PrevCongestion3,PrevCongestion4,PrevCongestion5,PrevCongestion6,PrevCongestion7,PrevCongestion8,PrevCongestion9,sin_time,cos_time,sin_minute,cos_minute,Route Code_0.0,Route Code_1.0,Route Code_2.0,Route Code_3.0,Route Code_4.0,Route Code_5.0,Fast Transfer0,Fast Transfer1,Fast Transfer2,Fast Transfer3,Fast Transfer4,Fast Transfer5,Fast Transfer6,Fast Transfer7,Fast Transfer8,Fast Transfer9,Fast Get Off0,Fast Get Off1,Fast Get Off2,Fast Get Off3,Fast Get Off4,Fast Get Off5,Fast Get Off6,Fast Get Off7,Fast Get Off8,Fast Get Off9
17455,227,227,0,4,10,30,0.0,2007.184302584331,484.3640457264593,43.333333333333336,46.333333333333336,63.333333333333336,64.33333333333333,81.33333333333333,66.33333333333333,64.33333333333333,59.333333333333336,54.333333333333336,50.333333333333336,0.4999999999999999,-0.8660254037844387,5.66553889764798e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25192,241,241,0,3,6,50,0.0,71.80203129138779,63.45936680428656,11.0,14.0,10.0,6.0,9.0,8.0,10.0,8.0,9.0,5.0,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
13154,220,220,1,2,7,10,1.0,289.16697075467744,1557.4388482965587,34.0,34.0,33.0,37.0,38.0,44.0,34.0,39.0,30.0,25.0,0.9659258262890684,-0.2588190451025206,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6712,209,209,0,2,8,50,0.0,115.75781553984436,697.6273777644478,34.0,54.0,57.0,62.0,50.0,49.0,60.0,41.0,44.0,50.0,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
30147,235,235,0,2,8,50,0.0,622.2565262671027,1574.040576809993,7.0,8.0,9.0,7.0,6.0,5.0,6.0,5.0,5.0,3.0,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
15601,224,224,0,4,6,0,0.0,224.3882766994603,520.2790833851695,39.0,47.0,54.16666666666666,46.0,55.16666666666666,46.0,46.333333333333336,57.333333333333336,50.16666666666666,71.16666666666667,1.0,6.123233995736766e-17,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2876,204,204,0,1,9,0,1.0,36.83498505271031,268.13546901850856,39.0,52.5,57.5,74.5,54.5,59.5,64.5,45.5,51.5,56.5,0.7071067811865476,-0.7071067811865475,0.0,1.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0
8304,212,212,1,1,8,0,1.0,1271.56786648675,858.0109953340337,35.4,38.2,53.4,52.4,51.4,46.4,53.4,56.4,39.4,47.4,0.8660254037844387,-0.4999999999999998,0.0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
4639,207,207,1,3,7,30,0.0,606.4093649631517,187.0348549510693,68.6,62.6,67.6,61.6,61.6,55.6,54.6,60.6,59.6,63.6,0.9659258262890684,-0.2588190451025206,5.66553889764798e-16,-1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
18078,228,228,0,0,7,30,0.0,3011.053454685869,722.6805463642421,101.25,100.25,108.25,119.0,124.0,109.25,100.25,97.25,88.5,105.25,0.9659258262890684,-0.2588190451025206,5.66553889764798e-16,-1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
